bim_data_array__ext, 6, 6.27e-04, 7.43e-04, 1.06e-03, 2.43e-03
mem_0_0, 7, 7.85e-05, 8.05e-05, 1.29e-04, 2.88e-04
mem_0_1, 7, 9.38e-05, 8.92e-05, 1.37e-04, 3.20e-04
mem_0_2, 7, 6.74e-05, 7.32e-05, 1.29e-04, 2.69e-04
mem_0_3, 7, 8.63e-05, 8.70e-05, 1.38e-04, 3.11e-04
mem_0_4, 7, 6.78e-05, 6.96e-05, 1.27e-04, 2.64e-04
mem_0_5, 7, 8.72e-05, 8.23e-05, 1.32e-04, 3.02e-04
mem_0_6, 7, 5.21e-05, 6.72e-05, 1.29e-04, 2.49e-04
mem_0_7, 7, 7.41e-05, 8.25e-05, 1.35e-04, 2.92e-04
bim_data_array_1, 5, 6.94e-04, 8.53e-04, 1.06e-03, 2.60e-03
bim_data_array__ext, 6, 6.94e-04, 8.53e-04, 1.06e-03, 2.60e-03
mem_0_0, 7, 8.58e-05, 9.13e-05, 1.30e-04, 3.07e-04
mem_0_1, 7, 1.10e-04, 1.05e-04, 1.40e-04, 3.55e-04
mem_0_2, 7, 6.46e-05, 7.18e-05, 1.24e-04, 2.61e-04
mem_0_3, 7, 9.57e-05, 9.59e-05, 1.32e-04, 3.24e-04
mem_0_4, 7, 6.93e-05, 7.50e-05, 1.24e-04, 2.69e-04
mem_0_5, 7, 9.86e-05, 1.03e-04, 1.35e-04, 3.36e-04
mem_0_6, 7, 5.94e-05, 8.02e-05, 1.26e-04, 2.65e-04
mem_0_7, 7, 8.92e-05, 1.02e-04, 1.39e-04, 3.30e-04
Queue, 5, 2.06e-05, 3.67e-06, 8.71e-06, 3.30e-05
Queue_1, 5, 2.39e-05, 4.82e-06, 1.25e-05, 4.13e-05
Queue_2, 5, 2.00e-05, 3.32e-06, 8.87e-06, 3.22e-05
Queue_3, 5, 2.27e-05, 4.75e-06, 1.27e-05, 4.01e-05
btb_data_array, 4, 2.43e-04, 3.56e-04, 3.24e-04, 9.23e-04
btb_data_array_ext, 5, 2.43e-04, 3.56e-04, 3.24e-04, 9.23e-04
mem_0_0, 6, 2.43e-04, 3.56e-04, 3.24e-04, 9.23e-04
