BoomTile, 0, 7.47e-02, 7.20e-02, 6.32e-02, 0.210, 5.99e-02, 5.51e-02, 6.32e-02, 0.178, 7.19e-02, 7.12e-02, 6.47e-02, 0.208, 6.19e-02, 5.88e-02, 6.31e-02, 0.184, 5.40e-02, 4.77e-02, 6.33e-02, 0.165, 6.66e-02, 6.20e-02, 6.33e-02, 0.192, 7.47e-02, 7.21e-02, 6.46e-02, 0.211, 5.78e-02, 5.25e-02, 6.34e-02, 0.174, 6.74e-02, 6.03e-02, 6.32e-02, 0.191, 5.94e-02, 5.17e-02, 6.33e-02, 0.174
core, 1, 2.91e-02, 2.65e-02, 1.82e-02, 7.38e-02, 2.11e-02, 1.64e-02, 1.81e-02, 5.56e-02, 3.30e-02, 3.00e-02, 1.82e-02, 8.12e-02, 2.50e-02, 2.19e-02, 1.81e-02, 6.50e-02, 1.94e-02, 1.45e-02, 1.81e-02, 5.20e-02, 2.39e-02, 2.06e-02, 1.81e-02, 6.26e-02, 2.84e-02, 2.57e-02, 1.82e-02, 7.22e-02, 2.05e-02, 1.62e-02, 1.81e-02, 5.49e-02, 2.31e-02, 1.88e-02, 1.81e-02, 6.00e-02, 1.93e-02, 1.47e-02, 1.81e-02, 5.21e-02
frontend, 1, 2.91e-02, 2.79e-02, 2.44e-02, 8.14e-02, 2.68e-02, 2.46e-02, 2.43e-02, 7.57e-02, 2.49e-02, 2.34e-02, 2.47e-02, 7.31e-02, 2.54e-02, 2.27e-02, 2.43e-02, 7.24e-02, 2.30e-02, 1.89e-02, 2.44e-02, 6.63e-02, 3.27e-02, 2.89e-02, 2.44e-02, 8.60e-02, 3.00e-02, 2.81e-02, 2.46e-02, 8.26e-02, 2.49e-02, 2.13e-02, 2.43e-02, 7.06e-02, 2.58e-02, 2.28e-02, 2.44e-02, 7.30e-02, 2.49e-02, 2.08e-02, 2.44e-02, 7.01e-02
dcache, 1, 1.40e-02, 1.26e-02, 1.73e-02, 4.40e-02, 9.43e-03, 9.14e-03, 1.74e-02, 3.60e-02, 1.13e-02, 1.27e-02, 1.84e-02, 4.25e-02, 8.93e-03, 9.25e-03, 1.74e-02, 3.55e-02, 8.96e-03, 9.25e-03, 1.75e-02, 3.57e-02, 7.51e-03, 7.54e-03, 1.74e-02, 3.25e-02, 1.38e-02, 1.33e-02, 1.85e-02, 4.56e-02, 9.74e-03, 9.87e-03, 1.76e-02, 3.72e-02, 1.59e-02, 1.36e-02, 1.74e-02, 4.69e-02, 1.26e-02, 1.12e-02, 1.75e-02, 4.13e-02
ptw, 1, 1.75e-03, 2.35e-03, 3.16e-03, 7.26e-03, 1.74e-03, 2.34e-03, 3.16e-03, 7.24e-03, 1.76e-03, 2.35e-03, 3.16e-03, 7.28e-03, 1.74e-03, 2.34e-03, 3.16e-03, 7.24e-03, 1.73e-03, 2.33e-03, 3.16e-03, 7.23e-03, 1.73e-03, 2.33e-03, 3.16e-03, 7.23e-03, 1.78e-03, 2.36e-03, 3.16e-03, 7.30e-03, 1.73e-03, 2.33e-03, 3.16e-03, 7.23e-03, 1.76e-03, 2.34e-03, 3.16e-03, 7.27e-03, 1.75e-03, 2.34e-03, 3.16e-03, 7.25e-03
buffer, 1, 8.25e-05, 2.11e-05, 8.61e-05, 1.90e-04, 9.20e-05, 3.38e-05, 8.58e-05, 2.12e-04, 8.71e-05, 3.56e-05, 8.61e-05, 2.09e-04, 9.29e-05, 3.59e-05, 8.59e-05, 2.15e-04, 1.24e-04, 7.04e-05, 8.58e-05, 2.80e-04, 8.21e-05, 2.32e-05, 8.57e-05, 1.91e-04, 8.55e-05, 2.99e-05, 8.61e-05, 2.01e-04, 1.17e-04, 6.21e-05, 8.59e-05, 2.65e-04, 9.19e-05, 3.38e-05, 8.59e-05, 2.12e-04, 1.05e-04, 4.56e-05, 8.58e-05, 2.36e-04
dcacheArb, 1, 2.31e-05, 2.03e-05, 1.36e-05, 5.71e-05, 1.09e-05, 8.17e-06, 1.36e-05, 3.27e-05, 1.30e-05, 1.17e-05, 1.36e-05, 3.84e-05, 1.29e-05, 1.17e-05, 1.36e-05, 3.82e-05, 1.04e-05, 8.84e-06, 1.36e-05, 3.29e-05, 6.15e-06, 2.67e-06, 1.36e-05, 2.25e-05, 1.56e-05, 1.20e-05, 1.36e-05, 4.12e-05, 1.18e-05, 9.83e-06, 1.36e-05, 3.52e-05, 1.66e-05, 1.44e-05, 1.36e-05, 4.47e-05, 1.17e-05, 9.37e-06, 1.36e-05, 3.47e-05
tlMasterXbar, 1, 3.09e-05, 6.96e-06, 1.32e-05, 5.11e-05, 3.11e-05, 7.88e-06, 1.32e-05, 5.22e-05, 3.16e-05, 7.58e-06, 1.33e-05, 5.24e-05, 3.10e-05, 7.79e-06, 1.32e-05, 5.20e-05, 3.21e-05, 1.05e-05, 1.32e-05, 5.59e-05, 3.11e-05, 7.00e-06, 1.32e-05, 5.13e-05, 3.15e-05, 7.33e-06, 1.32e-05, 5.21e-05, 3.20e-05, 1.04e-05, 1.32e-05, 5.56e-05, 3.12e-05, 7.56e-06, 1.32e-05, 5.19e-05, 3.17e-05, 8.59e-06, 1.32e-05, 5.35e-05
